time,own_icao24,intruder_icao24,own_latitude,own_longitude,own_geo_altitude_m,own_velocity_ms,own_heading_deg,own_vertical_rate_ms,intruder_latitude,intruder_longitude,intruder_geo_altitude_m,intruder_velocity_ms,intruder_heading_deg,intruder_vertical_rate_ms,relative_distance_km,relative_altitude_m,relative_speed_proxy_ms,distance_state,altitude_state,closing_state,mdp_state,recommended_action,reward
1781283492,780ae5,aacad4,38.8568,141.0953,10576.56,207.77,244.32,0.0,39.1953,140.8825,11178.54,216.71,258.64,-0.33,41.888,601.98,8.94,far,above,stable,far_above_stable,maintain,5
1781283492,780ade,781498,22.8701,115.0689,6309.36,208.39,253.8,-11.38,22.9327,115.2574,7299.96,220.13,252.45,-9.1,20.524,990.6,11.74,far,above,stable,far_above_stable,maintain,5
1781283492,8964b0,899082,23.1565,119.156,9585.96,259.44,218.07,2.93,23.5059,119.1394,11757.66,247.36,225.17,0.0,38.888,2171.7,12.08,far,above,stable,far_above_stable,maintain,5
1781283492,8964b0,862d2e,23.1565,119.156,9585.96,259.44,218.07,2.93,23.3357,119.1899,11094.72,241.63,237.7,0.0,20.225,1508.76,17.81,far,above,approaching,far_above_approaching,maintain,5
1781283492,780c44,781140,39.5684,114.963,9517.38,227.1,242.62,5.53,39.2474,114.3539,10058.4,223.28,180.66,0.0,63.344,541.02,3.82,far,above,stable,far_above_stable,maintain,5
1781283492,781f83,71c038,37.1239,126.018,9768.84,246.44,89.16,0.0,37.577,126.2116,1424.94,105.49,51.73,-2.6,53.209,-8343.9,140.95,far,below,approaching,far_below_approaching,maintain,5
1781283492,781f83,71c338,37.1239,126.018,9768.84,246.44,89.16,0.0,37.5595,126.3729,579.12,87.79,144.54,-4.55,57.71,-9189.72,158.65,far,below,approaching,far_below_approaching,maintain,5
1781283492,781f83,aa4230,37.1239,126.018,9768.84,246.44,89.16,0.0,37.1923,125.8371,6553.2,216.63,293.22,9.75,17.744,-3215.64,29.81,medium,below,approaching,medium_below_approaching,maintain,5
1781283492,76cc7a,71ba04,22.457,121.8614,11757.66,252.63,232.2,0.0,22.2725,121.1129,11437.62,259.54,14.7,0.0,79.656,-320.04,6.91,far,below,stable,far_below_stable,maintain,5
1781283492,8a09f8,781eea,22.7902,113.9347,4472.94,179.92,8.38,0.0,22.6824,113.9345,3642.36,180.62,320.78,5.2,11.987,-830.58,0.7,medium,below,stable,medium_below_stable,maintain,5
