Fold,Method,Seed,N windows,MAE (BPM),RMSE (BPM),Correlation,BA bias (BPM),BA lower LoA (BPM),BA upper LoA (BPM),Failed (%)
4,"Fixed | Butterworth (0.5-5 Hz, order 4)",0,1190,1.3231881768490805,3.022540742629482,0.9600828520109662,0.15819433411057385,-5.760353250354792,6.07674191857594,0.0
4,"Fixed | Butterworth (0.7-4 Hz, order 3)",0,1190,1.2943278569928263,2.9035254256542635,0.9629631204484809,0.1370346879533889,-5.549923458507785,5.823992834414564,0.0
4,Monte-Carlo,11,1190,1.2932683019641007,2.907686482354248,0.9629491765840932,0.21590509435070745,-5.469817140089211,5.901627328790625,0.0
4,SARSA,11,1190,1.2998149193625117,2.8902150778806406,0.9633582620060618,0.17514158692984602,-5.481646715943043,5.831929889802735,0.0
4,Q-learning,11,1190,1.3150967863163778,2.946434658960436,0.9620765334535699,0.23624352290956252,-5.52259562777195,5.995082673591075,0.0
4,Contextual bandit,11,1190,1.3156821616070868,2.98645776474148,0.9609336023952043,0.16237866486656877,-5.684877275014323,6.009634604747459,0.0
4,Monte-Carlo,22,1190,1.3613181944225587,3.1637378361110677,0.956374837628504,0.16554903105023902,-6.029485374502738,6.360583436603217,0.0
4,SARSA,22,1190,1.2739799470028281,2.740266797021905,0.9670294009787013,0.21280893062323658,-5.144144599071078,5.569762460317552,0.0
4,Q-learning,22,1190,1.2969198351922058,2.9701707559150257,0.9614699850402446,0.23702483107852693,-5.568383307113464,6.042432969270518,0.0
4,Contextual bandit,22,1190,1.329828623118111,3.0163627961185413,0.9602657242784061,0.1680112084537335,-5.737363470036561,6.073385886944028,0.0
4,Monte-Carlo,33,1190,1.3148743689432172,2.933608872517876,0.9622823125372417,0.1896061564228059,-5.550657442449835,5.929869755295447,0.0
4,SARSA,33,1190,1.3104038541300866,2.9972074109610998,0.9607402742616415,0.20480599899020102,-5.658453588898258,6.06806558687866,0.0
4,Q-learning,33,1190,1.3273461394087032,3.007625171674162,0.9604380989531803,0.1880648413738526,-5.697818407642423,6.073948090390129,0.0
4,Contextual bandit,33,1190,1.2907885764564495,2.8944591443890126,0.9633254673732207,0.2146212812541625,-5.445280079183256,5.874522641691581,0.0
4,Supervised action classifier,11,1190,1.293287059795225,2.9014754374824845,0.9631569605814634,0.20052670473755305,-5.475152515082204,5.8762059245573095,0.0
5,Fixed | Raw,0,1190,2.2708752545090687,4.936375382213784,0.9037184571086337,-0.14332183850145652,-9.818604870288585,9.531961193285671,0.0
5,Fixed | Moving average (5),0,1190,2.224334458316291,4.759127392475417,0.9083085583952297,0.0642627018677899,-9.266697957131813,9.395223360867393,0.0
5,Fixed | Moving average (11),0,1190,2.230312831881597,4.820660941259414,0.9063253240067737,0.0009382121844609873,-9.451529513558771,9.453405937927695,0.0
5,"Fixed | Savitzky-Golay (21,3)",0,1190,2.2524099754228404,4.861101807754659,0.9056879683502461,-0.12745380512588067,-9.655942301429135,9.401034691177372,0.0
5,"Fixed | Butterworth (0.5-5 Hz, order 4)",0,1190,2.225974076472157,4.859068640073118,0.9058054193983449,-0.16719233866205896,-9.689329192600821,9.354944515276705,0.0
5,"Fixed | Butterworth (0.7-4 Hz, order 3)",0,1190,2.203374515658412,4.843700927844363,0.9059328251661667,-0.1565018954260481,-9.649188276490442,9.336184485638345,0.0
5,Monte-Carlo,11,1190,2.2323953050326315,4.83386915207268,0.9063390240942978,-0.05710744188650167,-9.53481284772809,9.420597963955087,0.0
5,SARSA,11,1190,2.2870625119804826,4.993521275808579,0.9011729947614511,-0.1624158036876351,-9.948651891358692,9.623820283983422,0.0
5,Q-learning,11,1190,2.2242037818017835,4.8165730439951915,0.907075289489377,-0.10165102158086951,-9.543999779935026,9.340697736773288,0.0
5,Contextual bandit,11,1190,2.2466570815854223,4.872727414002532,0.9052127730773143,-0.12411693649953978,-9.675577980517364,9.427344107518284,0.0
5,Monte-Carlo,22,1190,2.2433586352740953,4.856911733515321,0.9053176662265392,-0.05978488411360607,-9.582612695318717,9.463042927091506,0.0
5,SARSA,22,1190,2.2664150945441164,4.953080082318321,0.9021176409550291,-0.13507396579537168,-9.843580426964964,9.573432495374222,0.0
5,Q-learning,22,1190,2.2063619010411246,4.810592041998378,0.9074101527184182,-0.09283693495484223,-9.523804822035938,9.338130952126253,0.0
5,Contextual bandit,22,1190,2.2446166565678585,4.9078314690834315,0.9037266946578487,-0.11854420579695327,-9.739130527601862,9.502042116007956,0.0
5,Monte-Carlo,33,1190,2.224247357691322,4.810502271074894,0.9070112471823457,-0.0721827011931917,-9.503669279310959,9.359303876924574,0.0
5,SARSA,33,1190,2.2487043524272488,4.912487430445688,0.9040497773200968,-0.1136649785609403,-9.74360966568733,9.516279708565449,0.0
5,Q-learning,33,1190,2.2141632978166386,4.8166605024838205,0.9069127856003554,-0.06592698801681308,-9.509666008974527,9.377812032940902,0.0
5,Contextual bandit,33,1190,2.2450893681583,4.897921928023884,0.9047961525337864,-0.1546501542889889,-9.753824690712602,9.444524382134624,0.0
5,Supervised action classifier,11,1190,2.2728400391366566,4.948080724010786,0.9032720782539126,-0.13946050371501761,-9.837921749033082,9.559000741603047,0.0
